# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6846
#@/user_id	4267ddf1-3dbe-4b05-ba14-7f437c90ceff
a 	啊	c=43 d=1.75151 t=6237
ban dao 	搬到	c=1 d=1 t=2907
ban gong shi 	办公室	c=1 d=1 t=5466
ban gong yi 	办公椅	c=1 d=1 t=5241
ban hao 	办好	c=1 d=1 t=467
ban jia 	搬家	c=4 d=1.01666 t=6418
ban li 	办理	c=4 d=3.41367 t=6512
ban li ren 	办理人	c=1 d=1 t=6475
ban nian 	半年	c=1 d=1 t=3236
ban qu 	搬去	c=1 d=1 t=2878
ban wu 	搬屋	c=2 d=1.00081 t=4769
ban zi 	板子	c=1 d=1 t=1753
bang 	帮	c=3 d=1.00452 t=2816
bang 	棒	c=1 d=1 t=6528
bang bang mang 	帮帮忙	c=1 d=1 t=3742
bang mang 	帮忙	c=1 d=1 t=1343
bang qi lai 	绑起来	c=1 d=1 t=3737
bang wo 	帮我	c=2 d=1 t=5614
bao 	包	c=1 d=1 t=1623
bao 	报	c=1 d=1 t=3030
bao 	抱	c=2 d=1.08501 t=3244
bao 	暴	c=1 d=1 t=1062
bao 	薄	c=1 d=1 t=5110
bao bao 	抱抱	c=6 d=2.97453 t=4106
bao bei 	宝贝	c=1 d=1 t=654
bao cun 	保存	c=2 d=1.01323 t=2424
bao jia 	报价	c=1 d=1 t=4796
bao jing 	报警	c=1 d=1 t=3755
bao shi 	暴食	c=1 d=1 t=2013
bao shui 	报税	c=1 d=1 t=3706
bao xian 	保险	c=9 d=1 t=5132
bao xiu 	保修	c=1 d=1 t=4507
bao zai 	包在	c=0 d=0.1 t=449
bao zai chuan fei 	包在船费	c=1 d=1 t=450
bao zai fan 	煲仔饭	c=1 d=1 t=4687
bao zhe 	抱着	c=1 d=1 t=288
bao zheng 	保证	c=3 d=1.00016 t=4175
bao zi xian 	包子馅	c=1 d=1 t=5932
bei 	呗	c=1 d=1 t=61
bei 	杯	c=1 d=1 t=1639
bei 	背	c=1 d=1 t=5029
bei 	被	c=6 d=1.00023 t=6261
bei hai dao 	北海道	c=1 d=1 t=4367
bei ji 	北极	c=1 d=1 t=514
bei jing 	北京	c=1 d=1 t=1014
bei ni 	被你	c=0 d=0.1 t=2584
bei po 	北坡	c=1 d=1 t=6706
bei zi 	杯子	c=4 d=3.73413 t=3111
bei zong 	杯总	c=6 d=2.92709 t=4634
ben 	本	c=1 d=1 t=3592
ben di 	本地	c=3 d=1.25795 t=5805
ben lai 	本来	c=1 d=1 t=1195
ben lai shi 	本来是	c=1 d=1 t=1782
ben ren 	本人	c=3 d=2.76733 t=6494
ben shen 	本身	c=1 d=1 t=5546
ben shu 	本书	c=1 d=1 t=5050
ben zi 	本子	c=3 d=1 t=6170
bi 	俾	c=1 d=1 t=3448
bi 	比	c=9 d=1.60042 t=6794
bi 	逼	c=1 d=1 t=1642
bi bu shang 	比不上	c=1 d=1 t=1368
bi jiao 	比较	c=0 d=0.1 t=3779
bi jiao hao 	比较好	c=2 d=1.14086 t=1358
bi jiao shao 	比较少	c=1 d=1 t=2603
bi li 	比例	c=3 d=1.00752 t=3171
bi ping shi 	比平时	c=1 d=1 t=2290
bi qi 	比起	c=2 d=1.18825 t=2595
bi ru 	比如	c=4 d=1.00003 t=6215
bi wo 	比我	c=1 d=1 t=5106
bi yan 	鼻炎	c=5 d=1.1244 t=2492
bi ye le 	毕业了	c=1 d=1 t=293
bi you 	笔友	c=1 d=1 t=2995
bian 	变	c=1 d=1 t=2096
bian 	编	c=1 d=1 t=5508
bian 	边	c=2 d=1.98511 t=1823
bian du 	边度	c=1 d=1 t=6043
bian hui 	变回	c=1 d=1 t=3814
bian kan bian ting 	边看边听	c=1 d=1 t=928
bian mi 	便秘	c=1 d=1 t=3567
bian tai 	变态	c=1 d=1 t=1112
bian tao ti 	扁桃体	c=1 d=1 t=4122
biao 	表	c=2 d=1 t=6406
biao da 	表达	c=1 d=1 t=5797
biao xian 	表现	c=0 d=0.1 t=727
biao zhun 	标准	c=1 d=1 t=4582
bie 	别	c=1 d=1 t=6582
bie de 	别的	c=3 d=1 t=5792
bing 	并	c=2 d=1 t=6489
bo 	啵	c=1 d=1 t=3520
bo duo 	波多	c=0 d=0.1 t=699
bo duo ye 	波多野	c=2 d=1 t=6361
bo la tu 	柏拉图	c=1 d=1 t=3080
bo lan 	波兰	c=0 d=0.1 t=6245
bo lan shi sha 	波兰是啥	c=1 d=1 t=6246
bo li 	玻璃	c=1 d=1 t=5164
bo xi 	波西	c=0 d=0.1 t=5984
bo xi lai 	波西来	c=1 d=1 t=5985
bo zhu 	博主	c=1 d=1 t=5104
bo zi 	脖子	c=1 d=1 t=4040
bu 	不	c=8 d=1.01441 t=6070
bu 	步	c=1 d=1 t=4867
bu 	补	c=2 d=0.910584 t=5220
bu ai ni 	不爱你	c=0 d=0.1 t=6070
bu ai ni le 	不爱你了	c=1 d=1 t=6071
bu bi 	不必	c=0 d=0.1 t=2819
bu bi zai wo 	不必在我	c=1 d=1 t=2820
bu chi 	不吃	c=1 d=1 t=2032
bu chong 	补充	c=2 d=1.85642 t=820
bu chu 	不出	c=1 d=1 t=2901
bu chu lai 	不出来	c=1 d=1 t=4409
bu chu yi wai 	不出意外	c=1 d=1 t=2873
bu cuo 	不错	c=1 d=1 t=2783
bu da zi zhao 	不打自招	c=1 d=1 t=5920
bu dao 	不到	c=2 d=1 t=5105
bu diao yi zhi 	步调一致	c=2 d=1.8781 t=4890
bu dong 	不懂	c=5 d=1 t=6545
bu dui 	不对	c=2 d=1 t=2629
bu dui ba 	不对吧	c=0 d=0.1 t=6413
bu fang bian 	不方便	c=1 d=1 t=4228
bu fen bi ci 	不分彼此	c=1 d=1 t=4695
bu gan 	不敢	c=1 d=1 t=5749
bu gao bu di 	不高不低	c=1 d=1 t=2264
bu gao de 	不高的	c=1 d=1 t=615
bu gei 	不给	c=1 d=1 t=3243
bu gou 	不够	c=1 d=0.439596 t=1006
bu gou ku 	补够酷	c=1 d=1 t=5221
bu guang 	不光	c=1 d=1 t=4894
bu guo 	不过	c=12 d=1.06185 t=6150
bu hao 	不好	c=3 d=1.00726 t=6530
bu hao chi 	不好吃	c=1 d=1 t=2078
bu he 	不和	c=0 d=0.1 t=4541
bu he jiu 	不喝酒	c=1 d=1 t=2035
bu he ni 	不和你	c=1 d=1 t=4542
bu hu chi 	不互斥	c=1 d=1 t=2389
bu hui 	不会	c=9 d=1.96383 t=5839
bu jia 	不加	c=1 d=1 t=626
bu jian dian 	不检点	c=1 d=1 t=6613
bu jian kang 	不健康	c=1 d=1 t=1996
bu jin jin 	不仅仅	c=1 d=1 t=2328
bu jiu hao le 	不就好了	c=1 d=1 t=1675
bu kai 	不开	c=1 d=1 t=509
bu kan 	不看	c=1 d=1 t=6664
bu ke ai 	不可爱	c=2 d=1.97045 t=430
bu kong zhi 	不控制	c=1 d=1 t=2040
bu li ni 	不理你	c=1 d=1 t=6620
bu liao 	不了	c=2 d=1 t=4274
bu men 	部门	c=1 d=1 t=5772
bu meng 	不萌	c=1 d=1 t=4746
bu neng 	不能	c=3 d=1.00016 t=6074
bu neng lian wang 	不能联网	c=1 d=1 t=1194
bu neng you 	不能有	c=1 d=1 t=5895
bu neng zi ba 	不能自拔	c=1 d=1 t=4133
bu pa 	不怕	c=2 d=1 t=5022
bu pa duo 	不怕多	c=1 d=1 t=711
bu qiang 	不强	c=0 d=0.1 t=284
bu qiang bu qiang 	不强不强	c=1 d=1 t=285
bu ran 	不然	c=1 d=1 t=259
bu ren dao 	不人道	c=1 d=1 t=4943
bu ren shi 	不认识	c=1 d=1 t=2990
bu rong yi 	不容易	c=1 d=1 t=2029
bu ru 	不如	c=2 d=1 t=6351
bu se 	不涩	c=1 d=1 t=325
bu shang 	不上	c=0 d=0.1 t=4567
bu she 	不射	c=1 d=1 t=1746
bu shi 	不是	c=10 d=1.0006 t=6661
bu shi 	不适	c=1 d=1 t=3937
bu shi hen 	不是很	c=0 d=0.1 t=1001
bu shi hen duo 	不是很多	c=1 d=1 t=1002
bu shi jie ri 	不是节日	c=1 d=1 t=4546
bu shi mao 	不是猫	c=1 d=1 t=2630
bu shi ni 	不是你	c=0 d=0.1 t=2292
bu shi ya 	不是呀	c=2 d=1 t=6149
bu shi zi 	不识字	c=1 d=1 t=249
bu shu fu 	不舒服	c=2 d=1.00003 t=6148
bu suan 	不算	c=1 d=1 t=4913
bu tong 	不同	c=2 d=1 t=5573
bu tong 	不痛	c=1 d=1 t=5813
bu tong de 	不同的	c=1 d=1 t=2759
bu tong de ren 	不同的人	c=1 d=1 t=2748
bu tong yi de 	不同意的	c=2 d=1 t=6589
bu wan 	不玩	c=2 d=1.90484 t=5283
bu wan 	补完	c=1 d=1 t=2670
bu wan mei 	不完美	c=1 d=1 t=3086
bu wei 	部位	c=1 d=1 t=2617
bu wen ming 	不文明	c=0 d=0.1 t=6551
bu xi 	补习	c=2 d=1.98511 t=5483
bu xi huan 	不喜欢	c=2 d=1 t=4577
bu xin 	不信	c=1 d=1 t=969
bu xing 	不行	c=1 d=1 t=27
bu xu 	不许	c=2 d=1.00037 t=4384
bu xu yao 	不需要	c=1 d=1 t=2930
bu xue 	不学	c=1 d=1 t=6178
bu yao 	不要	c=6 d=1.00003 t=6756
bu yao wen 	不要问	c=1 d=1 t=3337
bu yao you 	不要有	c=1 d=1 t=2011
bu yi ding 	不一定	c=1 d=1 t=6433
bu yi yang 	不一样	c=2 d=0.101678 t=6241
bu yi yang a 	不一样啊	c=1 d=1 t=803
bu ying gai 	不应该	c=1 d=1 t=716
bu yong 	不用	c=5 d=1 t=6757
bu you hao 	不友好	c=1 d=1 t=4247
bu you zhi 	不优质	c=1 d=1 t=720
bu yue 	不约	c=1 d=1 t=2363
bu yun xu 	不允许	c=1 d=1 t=2671
bu zai 	不再	c=1 d=1 t=4611
bu zai 	不在	c=1 d=1.00005 t=4586
bu zhan 	不占	c=0 d=0.1 t=2424
bu zhan di fang 	不占地方	c=1 d=1 t=2425
bu zhao 	不着	c=1 d=1.03707 t=2217
bu zheng li 	不整理	c=1 d=1 t=1471
bu zhi dao 	不知道	c=7 d=1.016 t=6542
bu zhi yu 	不至于	c=0 d=0.1 t=1190
bu zhu 	不住	c=1 d=1 t=3206
bu zhun que 	不准确	c=1 d=1 t=1347
cai 	才	c=5 d=1.95404 t=6685
cai 	踩	c=4 d=3.3169 t=6231
cai fa xian 	才发现	c=1 d=1 t=5844
cai hua 	菜花	c=1 d=1 t=2321
cai hui 	才会	c=1 d=1 t=3566
cai kai shi 	才开始	c=0 d=0.1 t=941
cai kai shi kan de 	才开始看的	c=1 d=1 t=942
cai kan 	才看	c=1 d=1 t=1304
cai neng 	才能	c=6 d=1.359 t=6205
cai pan 	裁判	c=3 d=2.94092 t=2319
cai piao 	彩票	c=1 d=1 t=4979
cai rang 	才让	c=0 d=0.1 t=232
cai rang ni yong de ya 	才让你用的呀	c=1 d=1 t=233
cai shi 	才是	c=1 d=1 t=3544
cai suan 	才算	c=1 d=1 t=5963
cai xing 	才行	c=1 d=1 t=4254
cai zhi 	材质	c=1 d=1 t=5824
cai zi 	才子	c=1 d=1 t=6558
can 	餐	c=1 d=1 t=836
can jia 	参加	c=1 d=1 t=3785
can tai 	餐台	c=1 d=1 t=4779
can ting 	餐厅	c=2 d=1 t=5775
cang 	仓	c=1 d=1 t=3404
cang ku 	仓库	c=1 d=1 t=1434
cang shi 	藏尸	c=1 d=1 t=4211
cao 	操	c=1 d=1 t=4364
cao 	草	c=4 d=1.00254 t=4357
cao da 	曹大	c=0 d=0.1 t=4405
cao da ren 	曹大人	c=1 d=1 t=4406
ce ce 	测测	c=1 d=1 t=2279
ce shi 	测试	c=1 d=1 t=1316
ce suo 	厕所	c=2 d=1.99501 t=2767
ce zhe 	侧着	c=0 d=0.1 t=3732
ce zhe shui 	侧着睡	c=1 d=1 t=3733
ceng 	层	c=0 d=0.1 t=1623
cha 	差	c=1 d=1 t=5835
cha 	插	c=1 d=1 t=4187
cha 	搽	c=2 d=1.98511 t=2538
cha bu duo 	差不多	c=2 d=1.01699 t=3886
cha bu duo de 	差不多的	c=0 d=0.1 t=5753
cha hen duo 	差很多	c=1 d=1 t=1331
chai 	拆	c=2 d=1.86071 t=2920
chan 	婵	c=2 d=1.99501 t=1245
chan 	馋	c=1 d=1 t=2070
chan pin 	产品	c=1 d=1 t=5819
chang 	肠	c=1 d=1 t=1221
chang 	长	c=2 d=1.00004 t=5948
chang chi 	常吃	c=0 d=0.1 t=8
chang le 	长了	c=1 d=1 t=1477
chang qi 	长期	c=0 d=0.10004 t=2422
chang qi tun 	长期屯	c=1 d=1 t=854
chang qi yong 	长期用	c=1 d=1 t=118
chang shi 	尝试	c=1 d=1 t=42
chang shi jian 	长时间	c=2 d=1 t=5828
chang wen 	常温	c=1 d=1 t=6753
chang zhu 	常住	c=1 d=1 t=4825
chang zhu 	长住	c=1 d=1 t=5240
chao 	超	c=1 d=1 t=2791
chao shi 	超市	c=2 d=1.87372 t=5664
che 	车	c=2 d=1.82696 t=6251
che dao 	扯到	c=2 d=1.97045 t=5039
che dao 	车道	c=1 d=1 t=6229
che pai 	车牌	c=1 d=1 t=4306
che shang 	车上	c=2 d=1.93239 t=6027
chen 	陈	c=3 d=1.00917 t=2316
chen mi 	沉迷	c=1 d=1 t=1156
chen nian 	陈年	c=1 d=1 t=2507
chen zhuo 	陈卓	c=1 d=1 t=1021
cheng 	城	c=3 d=1.99005 t=4436
cheng 	成	c=1 d=1 t=5288
cheng ben 	成本	c=1 d=1 t=3548
cheng dan 	承担	c=1 d=1 t=6490
cheng du 	成都	c=1 d=1 t=4595
cheng du 	程度	c=2 d=1.49659 t=1848
cheng fen 	成分	c=1 d=1 t=3343
cheng hu 	称呼	c=1 d=1 t=3396
cheng rang 	承让	c=2 d=1.99501 t=5843
cheng ren 	成人	c=3 d=1.38908 t=3128
cheng shi 	城市	c=1 d=1 t=3212
cheng wei 	成为	c=1 d=1 t=1297
cheng yuan 	成员	c=1 d=1 t=2690
chi 	吃	c=10 d=1.01136 t=6741
chi 	迟	c=1 d=1 t=5084
chi a 	吃啊	c=0 d=0.16942 t=2234
chi bu dao 	吃不到	c=1 d=1 t=968
chi de 	吃得	c=1 d=1 t=982
chi de 	吃的	c=1 d=1 t=479
chi fan 	吃饭	c=1 d=1.03345 t=6146
chi ge 	吃个	c=1 d=1 t=3572
chi jun 	赤军	c=1 d=1 t=3676
chi le 	吃了	c=1 d=1 t=4688
chi rou 	吃肉	c=1 d=1 t=4472
chong 	重	c=2 d=1 t=6572
chong chong 	重重	c=1 d=1 t=6392
chong dian 	充电	c=1 d=1 t=6630
chong lian 	重练	c=1 d=1 t=2402
chong she 	重设	c=1 d=1 t=22
chong tian 	冲田	c=2 d=1.99501 t=6095
chong wu 	宠物	c=2 d=1.04056 t=2554
chong xi 	冲洗	c=1 d=1 t=4124
chong xie 	重写	c=1 d=1 t=6715
chong xin 	重新	c=5 d=1.50492 t=5585
chong zu 	充足	c=1 d=1 t=5681
chou 	丑	c=1 d=1 t=415
chou chou 	丑丑	c=2 d=1 t=4833
chou ti 	抽屉	c=1 d=1 t=3688
chou ti li 	抽屉里	c=1 d=1 t=1755
chu 	出	c=3 d=1.00008 t=5179
chu 	处	c=0 d=0.1 t=6077
chu de 	出的	c=0 d=0.1 t=1832
chu fang 	处方	c=1 d=1 t=5870
chu fang yao 	处方药	c=2 d=1 t=5866
chu fei 	除非	c=2 d=1.09681 t=722
chu han 	出汗	c=1 d=1 t=2501
chu lai 	出来	c=1 d=1 t=5647
chu lai le 	出来了	c=1 d=1 t=4645
chu le 	除了	c=1 d=1 t=4098
chu li 	处理	c=0 d=0.1 t=5638
chu men 	出门	c=2 d=1 t=4349
chu shen 	厨神	c=1 d=1 t=3536
chu sheng 	出生	c=1 d=1 t=3678
chu sheng qian 	出生前	c=1 d=1 t=3104
chu shi 	出世	c=1 d=1 t=2870
chu xi 	出席	c=0 d=0.1 t=6377
chu xi 	出戏	c=2 d=1.44933 t=6539
chu xian le 	出现了	c=1 d=1 t=3961
chu ye 	初夜	c=1 d=1 t=6057
chu zhang 	处长	c=2 d=1.55711 t=6100
chuan 	穿	c=1 d=1 t=3634
chuan 	船	c=1 d=1 t=6633
chuan fei 	船费	c=0 d=0.1 t=449
chuan shang 	船上	c=1 d=1 t=478
chuan shang yi fu 	穿上衣服	c=0 d=0.1 t=5819
chuan shang yi fu hou 	穿上衣服后	c=1 d=1 t=5820
chuang di xia 	床底下	c=1 d=1 t=3739
chun jing shui 	纯净水	c=1 d=1 t=6285
chun liang 	纯良	c=1 d=1 t=332
chun tang 	纯糖	c=1 d=1 t=2240
chuo 	戳	c=1 d=1 t=3352
ci 	呲	c=2 d=1.99005 t=2513
ci 	次	c=0 d=0.1 t=3188
ci 	词	c=3 d=1.956 t=5793
ci shen 	刺身	c=1 d=1 t=2532
ci tiao 	磁条	c=1 d=1 t=6648
ci wei 	刺猬	c=1 d=1 t=400
ci xiao bi zhang 	此消彼长	c=2 d=1.99501 t=5017
ci zhi 	辞职	c=1 d=1 t=5441
cong 	从	c=8 d=1.90159 t=4938
cong er 	从而	c=1 d=1 t=2659
cong lai 	从来	c=1 d=1 t=6751
cong xiao 	从小	c=1 d=1 t=123
cong yi 	从一	c=1 d=1 t=4873
cu gao 	促睾	c=1 d=1 t=2851
cun 	存	c=1 d=1 t=5476
cun jin 	寸劲	c=1 d=1 t=596
cun ru 	存入	c=1 d=1 t=6499
cun shang 	村上	c=1 d=1 t=4832
cuo 	错	c=0 d=0.1 t=5182
cuo bie zi 	错别字	c=1 d=1 t=246
cuo le 	错了	c=1 d=1 t=6588
cuo shou 	搓手	c=1 d=1 t=2646
da 	大	c=2 d=1.00053 t=4238
da 	打	c=7 d=2.13164 t=6258
da 	搭	c=1 d=1 t=6275
da 	达	c=1 d=1 t=5043
da bu fen 	大部分	c=1 d=1 t=154
da bu liao 	大不了	c=1 d=1 t=1192
da cheng 	达成	c=1 d=1 t=4936
da da 	大大	c=2 d=1.93707 t=6840
da dian 	大典	c=1 d=1 t=4658
da dian hua 	打电话	c=3 d=2.81884 t=5767
da feng 	大封	c=0 d=0.1 t=1302
da feng min 	大封民	c=1 d=1 t=1303
da gai 	大概	c=3 d=1.00002 t=5738
da gong 	打工	c=1 d=1 t=549
da gun 	打滚	c=2 d=1 t=4816
da guo qu 	打过去	c=1 d=1 t=3373
da ji 	打击	c=2 d=1 t=4044
da ji liang 	大剂量	c=1 d=1 t=2100
da jia 	大家	c=3 d=1 t=4958
da jia 	打架	c=1 d=1 t=5151
da jia na 	大家拿	c=3 d=1.97531 t=6193
da jian 	大件	c=1 d=1 t=3291
da jiao 	打交	c=1 d=1 t=1775
da liang 	大量	c=1 d=1 t=853
da lu 	大陆	c=3 d=1.08249 t=3677
da nao 	大脑	c=1 d=1 t=4065
da ni 	打你	c=2 d=1.99005 t=1278
da niao 	大鸟	c=1 d=1 t=4504
da qian 	打钱	c=2 d=1.00115 t=6066
da shi 	大师	c=1 d=1 t=3664
da shou 	大受	c=0 d=0.1 t=1077
da shou zhen han 	大受震撼	c=1 d=1 t=1078
da suan 	打算	c=0 d=0.1 t=2276
da wan 	大湾	c=0 d=0.1 t=4695
da wan qu 	大湾区	c=2 d=1.94176 t=4708
da wei 	大围	c=3 d=1.01377 t=4790
da xiang 	大象	c=2 d=1.99501 t=5841
da ya 	大呀	c=1 d=1 t=4017
da yan jing 	大眼睛	c=1 d=1 t=4128
da yi xie 	大一些	c=1 d=1 t=3888
da you shi 	打油诗	c=1 d=1 t=3954
da yu shan 	大屿山	c=1 d=1 t=4805
dai 	代	c=2 d=1.94649 t=3327
dai 	带	c=6 d=1.37722 t=6778
dai 	戴	c=2 d=1.00012 t=6807
dai biao 	代表	c=1 d=1 t=6469
dai bu 	代步	c=1 d=1 t=6197
dai dai wo 	带带我	c=1 d=1 t=562
dai ding 	待定	c=2 d=1.99005 t=6427
dai kuan 	贷款	c=3 d=1.99517 t=3468
dai li ren 	代理人	c=2 d=1.91393 t=6467
dai ru gan 	代入感	c=1 d=1 t=1329
dai tou kui 	戴头盔	c=1 d=1 t=6625
dai wo 	带我	c=0 d=0.1 t=561
dai zai 	呆在	c=1 d=1 t=3220
dan 	但	c=32 d=3.04435 t=6432
dan 	单	c=2 d=1.75578 t=5243
dan 	啖	c=0 d=0.1 t=1711
dan 	蛋	c=3 d=2.95084 t=5042
dan bai fen 	蛋白粉	c=3 d=1.99527 t=2419
dan bai zhi 	蛋白质	c=3 d=1 t=4381
dan bai zhi bi 	蛋白质比	c=1 d=1 t=608
dan bing 	蛋饼	c=3 d=2.63584 t=6356
dan che 	单车	c=3 d=1.00001 t=5472
dan hao xiang 	但好像	c=1 d=1 t=171
dan ke yi 	但可以	c=1 d=1 t=3227
dan shou 	单手	c=2 d=1.78663 t=6224
dan tui 	淡推	c=2 d=1.96079 t=3022
dan wo 	但我	c=1 d=1 t=1077
dang 	党	c=2 d=1.09851 t=3593
dang 	当	c=4 d=1.12956 t=4952
dang bing 	当兵	c=1 d=1 t=4863
dang ni 	当你	c=1 d=1 t=2709
dang qian 	当前	c=1 d=1 t=1560
dang ran 	当然	c=3 d=1.00071 t=4955
dang shui 	当水	c=1 d=1 t=1656
dang tou 	当头	c=0 d=0.1 t=4830
dang tou xiang 	当头像	c=1 d=1 t=4831
dang zhi bu 	党支部	c=1 d=1 t=5961
dao 	到	c=7 d=2.25474 t=6436
dao chu 	到处	c=1 d=1 t=2593
dao chu lai 	倒出来	c=1 d=1.06561 t=6301
dao chu lai le 	倒出来了	c=1 d=1 t=6302
dao de 	倒的	c=0 d=0.1 t=6297
dao de shi hou 	倒的时候	c=1 d=1 t=6298
dao di 	到底	c=1 d=1 t=3154
dao le 	倒了	c=1 d=1 t=4815
dao li 	道理	c=1 d=1.04795 t=3124
dao shi 	到时	c=1 d=1 t=5467
de 	得	c=7 d=1.40459 t=6735
de 	的	c=146 d=3.51415 t=6837
de a 	的阿	c=1 d=1 t=3555
de di fang 	的地方	c=1 d=1.06079 t=1700
de dong xi 	的东西	c=1 d=1 t=1482
de fang fa 	的方法	c=1 d=1 t=207
de gan jue 	的感觉	c=2 d=1.12809 t=1551
de hua 	的话	c=4 d=1 t=5724
de ju li 	的距离	c=2 d=1.94176 t=3897
de li zi 	的例子	c=1 d=1 t=4880
de ma 	的吗	c=1 d=1 t=6360
de mi ma 	的密码	c=1 d=1 t=17
de na 	的那	c=0 d=0.1 t=1623
de na ceng 	的那层	c=2 d=1.99005 t=1626
de ren 	的人	c=2 d=1 t=6547
de shi 	的是	c=2 d=1.00009 t=1957
de shi hou 	的时候	c=6 d=1.11447 t=6279
de shi sha 	的是啥	c=1 d=1 t=3690
de shu 	的书	c=1 d=1 t=1809
de ya 	的呀	c=1 d=0.790734 t=232
de yang zi 	的样子	c=3 d=1.00001 t=4127
de yin 	的音	c=1 d=1 t=4420
deng 	等	c=4 d=1.71892 t=4665
deng 	邓	c=1 d=1 t=4503
deng chuan 	登船	c=1 d=1 t=459
deng dai 	等待	c=1 d=1 t=4321
deng de 	等得	c=1 d=1 t=1088
deng deng 	等等	c=2 d=1.00016 t=6413
deng ji 	等级	c=1 d=1 t=5027
deng lu 	登录	c=2 d=1.8311 t=62
deng tong yu 	等同于	c=1 d=1 t=4970
deng xia 	等下	c=1 d=1 t=2127
deng zhe 	等着	c=1 d=1 t=6842
di 	低	c=7 d=1 t=6694
di 	地	c=9 d=1.06439 t=6579
di 	滴	c=1 d=1 t=4750
di 	递	c=1 d=1 t=3551
di ban 	地板	c=1 d=1 t=3722
di dian 	地点	c=1 d=1 t=5917
di fang 	低放	c=0 d=0.1 t=6154
di fang 	地方	c=1 d=1.00004 t=3983
di ji shu 	低技术	c=1 d=1 t=662
di mian 	地面	c=1 d=1 t=4048
di na yan 	低钠盐	c=1 d=1 t=768
di san 	第三	c=0 d=0.1 t=1247
di san zhen 	第三针	c=4 d=2.59152 t=1680
di tie 	地铁	c=1 d=1 t=1634
di yi 	低一	c=0 d=0.1 t=5364
di yi 	第一	c=0 d=0.1 t=5065
di yi ci 	第一次	c=6 d=1.00034 t=6787
di yi dian 	低一点	c=1 d=1 t=5365
di yi fu ren 	第一夫人	c=2 d=1.98511 t=3922
di yi shen 	第一身	c=1 d=1 t=5066
di yi yan 	第一眼	c=1 d=1 t=3695
di zhi 	地址	c=2 d=1.00094 t=4810
di zhi 	抵制	c=1 d=1 t=6698
dian 	点	c=11 d=1.00417 t=6113
dian 	电	c=2 d=1.00211 t=4502
dian chi 	电池	c=1 d=1 t=6216
dian ci lu 	电磁炉	c=1 d=1 t=5633
dian fei 	电费	c=1 d=1 t=2730
dian hua 	电话	c=4 d=1.36261 t=6644
dian jie 	点解	c=1 d=1 t=1867
dian le 	电了	c=1 d=1 t=6217
dian mei 	电煤	c=0 d=0.1 t=5237
dian nao 	电脑	c=1 d=1 t=5914
dian ni 	电你	c=1 d=1 t=4501
dian qi 	电器	c=1 d=1 t=382
dian xin 	电信	c=1 d=1 t=5798
dian yuan 	电源	c=1 d=1 t=2964
dian zan 	点赞	c=0 d=0.1 t=1054
diao 	屌	c=2 d=1 t=5875
diao 	掉	c=3 d=0.1 t=6665
diao cha 	调查	c=1 d=1 t=3824
diao chuang 	吊床	c=1 d=1 t=3744
diao ji rou 	掉肌肉	c=1 d=1 t=6666
die jia 	叠加	c=1 d=1 t=3651
ding gou 	订购	c=1 d=1 t=5077
ding qi 	定期	c=2 d=1 t=4093
ding yi 	定义	c=1 d=1 t=4962
